"","Q2","Q3","Q6","Q7","Q8","Q12","Q14","Q27","Q29"
"216",3,4,2,4,2,1,2,3,2
"218",1,3,1,2,3,1,3,2,2
"323",4,3,2,2,3,1,4,3,2
"330",2,3,2,2,2,1,3,3,2
"334",2,3,2,2,2,1,3,2,2
"335",4,3,2,2,2,1,4,1,2
"337",2,3,2,2,2,1,4,2,2
"339",2,3,2,2,2,1,2,1,2
"341",1,3,2,2,2,1,4,1,2
"347",1,3,2,2,2,1,4,3,3
"348",1,3,2,2,2,1,4,3,2
"453",4,3,2,2,4,1,3,3,2
"467",4,3,2,2,2,1,2,3,2
"572",1,3,2,2,3,1,4,3,2
"574",1,2,2,2,2,1,2,3,2
"598",1,3,2,2,2,1,3,3,2
"606",2,3,2,2,2,1,3,3,2
"607",1,3,2,2,2,1,4,3,2
"615",1,2,2,2,2,1,4,4,2
"623",1,3,2,2,3,1,4,1,2
"626",1,3,2,4,2,1,2,3,2
"627",1,3,2,2,2,1,0,2,2
"631",3,3,2,4,3,1,2,1,2
"634",1,3,2,2,2,1,4,3,2
"103",1,1,2,2,0,1,4,3,2
"107",1,1,2,2,3,3,3,3,3
"219",2,1,2,2,2,1,4,3,2
"327",2,1,2,2,2,1,4,1,2
"336",1,1,2,2,2,1,4,1,2
"338",1,1,2,2,2,1,4,3,1
"451",1,1,2,2,2,1,4,4,2
"463",1,1,2,2,2,1,3,3,2
"470",4,1,2,1,2,1,4,3,1
"581",1,1,2,2,2,1,4,3,2
"586",3,2,2,2,2,1,4,3,1
"587",1,1,2,2,2,1,4,2,2
"608",2,1,2,2,2,1,4,3,3
"609",1,1,2,2,2,1,4,3,2
"613",2,2,2,2,2,1,4,3,1
"619",1,1,2,2,2,1,4,3,1
"620",2,1,2,2,2,1,4,3,2
"215",4,3,2,2,2,2,3,1,2
"321",3,3,2,2,1,1,1,2,2
"349",3,4,2,2,2,1,3,1,2
"460",4,1,2,2,1,1,2,2,2
"468",4,3,2,2,1,1,3,1,2
"582",4,3,2,2,1,1,1,4,2
"585",2,1,2,3,2,1,3,1,2
"588",4,3,2,2,1,2,3,3,2
"595",4,4,2,2,1,1,2,1,2
"630",4,3,2,2,1,1,4,2,2
"102",1,1,2,2,2,2,3,2,2
"212",1,3,2,2,2,2,3,3,2
"340",2,3,2,2,2,2,4,4,2
"455",1,3,2,2,2,2,3,4,2
"464",1,1,1,2,2,2,3,1,2
"503",1,1,2,2,2,2,4,3,2
"597",2,2,2,2,2,2,3,4,2
"617",1,3,2,2,2,2,4,3,3
"622",2,3,2,2,2,2,3,4,2
"629",1,3,2,2,2,2,4,3,2
"110",1,3,2,2,1,2,4,3,2
"217",1,3,2,2,1,1,4,3,2
"325",2,3,2,2,1,1,4,3,2
"344",4,3,2,4,1,3,4,3,2
"459",1,3,2,2,1,1,4,3,2
"594",1,3,2,2,1,1,4,4,4
"612",2,3,2,2,1,1,4,3,2
"633",1,3,2,2,1,1,4,3,2
"214",2,1,2,2,1,1,2,3,2
"331",2,1,2,1,2,3,2,3,2
"342",2,3,2,1,1,1,2,3,2
"457",1,1,2,2,1,1,2,3,2
"578",2,1,2,4,1,1,2,3,2
"596",1,3,2,2,1,1,2,3,2
"614",2,3,2,2,1,1,2,4,2
"328",1,4,2,2,1,3,2,2,2
"333",3,2,2,2,3,2,1,2,2
"343",1,2,2,4,1,2,4,2,2
"458",1,3,2,2,1,2,2,2,2
"502",1,2,1,0,1,2,4,2,2
"591",1,3,2,2,1,3,2,2,2
"624",1,4,3,1,4,2,4,2,2
"101",4,4,1,1,2,1,3,3,2
"324",4,3,1,1,3,1,1,3,2
"350",2,3,2,1,2,1,1,3,2
"589",4,3,1,1,2,1,1,3,2
"592",4,3,1,1,2,1,3,2,2
"320",2,4,1,1,3,1,2,3,2
"345",2,3,1,2,3,2,2,3,2
"346",3,4,1,1,3,2,2,3,2
"462",3,4,1,1,1,1,3,1,2
"604",3,4,1,1,1,1,2,1,2
"106",2,1,2,2,1,2,1,1,2
"108",2,1,2,2,2,1,2,1,2
"573",0,3,2,2,1,3,2,1,1
"593",2,3,2,2,1,3,1,1,1
"625",4,3,2,2,2,2,1,1,2
"104",1,1,2,1,2,2,4,1,2
"571",2,4,3,4,1,1,1,1,2
"577",1,1,2,1,1,1,4,1,2
"610",1,1,2,2,1,1,1,1,2
"465",0,1,1,2,2,1,2,2,4
"469",2,1,1,2,2,1,3,3,4
"618",2,3,1,1,2,4,3,3,4
"621",1,1,1,2,4,1,2,3,2
"584",4,2,1,1,3,4,2,3,1
"605",4,1,1,1,4,2,3,3,1
