Subject	RT	Condition	Group
634	19441.111111000002	FCI	Group A
607	12944.888889	FCI	Group A
615	23034.555556	FCI	Group A
623	20219.0	FCI	Group A
626	21940.333333000002	FCI	Group A
627	27122.333333	FCI	Group A
631	27858.888888999998	FCI	Group A
631	15690.777778	Control	Group A
216	12181.333333	Control	Group A
218	22689.777778	Control	Group A
323	17290.777778	Control	Group A
330	20838.0	Control	Group A
334	14179.444444	Control	Group A
335	14441.111111000002	Control	Group A
337	12440.444444	Control	Group A
339	16445.222222	Control	Group A
341	16944.666666999998	Control	Group A
347	17049.333333000002	Control	Group A
348	12753.777778	Control	Group A
453	14324.333333	Control	Group A
467	13379.333333	Control	Group A
572	17394.777778	Control	Group A
574	15359.0	Control	Group A
598	11413.333333	Control	Group A
606	12892.666667	Control	Group A
607	13042.888889	Control	Group A
615	19849.444444	Control	Group A
623	14381.444444	Control	Group A
626	13942.777778	Control	Group A
627	20662.333333000002	Control	Group A
606	23717.777778	FCI	Group A
598	21065.0	FCI	Group A
634	18159.555556	Control	Group A
341	17734.555556	FCI	Group A
467	20687.444444	FCI	Group A
339	20198.777778	FCI	Group A
453	20130.111111000002	FCI	Group A
572	20206.777778	FCI	Group A
323	21023.444444	FCI	Group A
335	21801.0	FCI	Group A
334	19149.888888999998	FCI	Group A
574	26340.111111000002	FCI	Group A
337	19460.222222	FCI	Group A
218	21071.222222	FCI	Group A
348	19948.777778	FCI	Group A
216	15742.666667	FCI	Group A
347	23366.222222	FCI	Group A
330	24248.222222	FCI	Group A
336	15273.666667	FCI	Group B
586	22808.222222	FCI	Group B
463	10585.0	Control	Group B
451	11905.333333	Control	Group B
587	18411.0	FCI	Group B
327	24042.111111000002	FCI	Group B
586	17474.444444	Control	Group B
587	14795.777778	Control	Group B
219	16643.0	FCI	Group B
608	16195.222222	Control	Group B
609	14418.0	Control	Group B
613	16104.888888999998	Control	Group B
619	11991.222222	Control	Group B
620	14355.555556	Control	Group B
107	20025.222222	FCI	Group B
470	14126.888888999998	Control	Group B
581	11926.666667	Control	Group B
338	15716.111111000002	FCI	Group B
336	12542.111111	Control	Group B
581	15353.888888999998	FCI	Group B
608	15288.888888999998	FCI	Group B
609	18911.666666999998	FCI	Group B
613	13639.222222	FCI	Group B
619	13231.888889	FCI	Group B
620	23056.555556	FCI	Group B
470	19275.888888999998	FCI	Group B
338	13273.222222	Control	Group B
463	15884.0	FCI	Group B
103	17462.0	Control	Group B
103	23510.333333000002	FCI	Group B
327	17376.111111000002	Control	Group B
219	14009.777778	Control	Group B
451	17372.444444	FCI	Group B
107	15737.444444	Control	Group B
468	14854.666667	Control	Group C
630	20150.888888999998	Control	Group C
588	19129.111111000002	FCI	Group C
215	17362.555556	FCI	Group C
595	22355.555556	FCI	Group C
585	20091.333333000002	FCI	Group C
582	24200.333333000002	FCI	Group C
349	17294.0	FCI	Group C
321	16963.222222	Control	Group C
321	20185.333333000002	FCI	Group C
595	23385.222222	Control	Group C
588	20278.333333000002	Control	Group C
460	12294.666667	Control	Group C
460	16520.333333000002	FCI	Group C
585	16091.333333	Control	Group C
582	19093.444444	Control	Group C
630	21591.444444	FCI	Group C
215	14346.777778	Control	Group C
349	10681.555556	Control	Group C
468	22747.111111000002	FCI	Group C
