"","X[[i]]"
"1.1",12
"1.2",14
"1.3",18
"1.4",23
"1.5",26
"1.6",27
"1.7",29
"1.8",31
"1.9",33
"1.10",39
"1.11",40
"1.12",44
"1.13",54
"1.14",61
"1.15",63
"1.16",81
"1.17",84
"1.18",85
"1.19",92
"1.20",99
"1.21",102
"1.22",103
"1.23",106
"1.24",108
"2.1",3
"2.2",6
"2.3",15
"2.4",21
"2.5",28
"2.6",30
"2.7",43
"2.8",51
"2.9",57
"2.10",66
"2.11",70
"2.12",71
"2.13",86
"2.14",87
"2.15",90
"2.16",95
"2.17",96
"3.1",11
"3.2",17
"3.3",41
"3.4",49
"3.5",55
"3.6",67
"3.7",69
"3.8",72
"3.9",78
"3.10",105
"4.1",2
"4.2",9
"4.3",32
"4.4",45
"4.5",52
"4.6",59
"4.7",80
"4.8",93
"4.9",98
"4.10",104
"5.1",8
"5.2",13
"5.3",20
"5.4",36
"5.5",48
"5.6",77
"5.7",89
"5.8",107
"6.1",10
"6.2",24
"6.3",34
"6.4",46
"6.5",65
"6.6",79
"6.7",91
"7.1",22
"7.2",25
"7.3",35
"7.4",47
"7.5",58
"7.6",74
"7.7",100
"8.1",1
"8.2",19
"8.3",42
"8.4",73
"8.5",75
"9.1",16
"9.2",37
"9.3",38
"9.4",50
"9.5",82
"10.1",5
"10.2",7
"10.3",62
"10.4",76
"10.5",101
"11.1",4
"11.2",60
"11.3",64
"11.4",88
"12.1",53
"12.2",56
"12.3",94
"12.4",97
"13.1",68
"13.2",83
