V.g..id,mem
X1a,2
X1b,9
X1d,7
X2b,1
X2c,2
X2d,7
X2e,2
X3a,9
X3b,1
X3e,2
X14a,1
X14b,8
X14c,1
X26a,1
X26b,2
X26c,2
X26d,2
X6a,1
X6c,3
X7a,1
X7c,6
X7e,1
X8a,6
X8c,1
X8d,1
X8e,4
X12c,5
X12d,5
X24c,1
X24d,1
X29c,9
X29d,8
X5a,9
X5c,5
X5d,4
X5e,1
X13b,5
X13c,1
X18a,7
X18c,5
X18d,4
X18e,1
X30a,2
X30b,9
X30e,1
X17a,3
X17d,1
X17e,6
X4a,2
X4d,3
X15c,2
X15d,4
X15e,6
X28a,6
X28b,9
X28c,3
X28d,2
X19a,5
X19b,1
X19c,2
X19d,7
X21a,1
X21b,6
X21c,8
X21d,2
X27a,5
X27b,1
X27d,2
X9b,6
X9c,5
X9d,7
X10c,2
X10d,4
X10e,7
X11a,9
X11b,3
X11c,4
X11e,2
X16c,3
X16d,4
X16e,6
X23a,7
X23c,6
X23d,1
X23e,1
X25a,1
X25b,1
X25d,3
X25e,1
X22a,8
X22c,5
X22d,1
X20a,1
X20b,3
X20c,3
X20e,2
X2a,10
X3c,10
X6b,10
X7b,10
X8b,10
X12b,10
X14d,10
X27c,10
X29b,10
