,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
,GIF1,GIF2,GIF3,GIF4,GIF5,GIF6,GIF7,GIF8,GIF9,GIF10,GIF11,GIF12,GIF13,GIF14,GIF15,GIF16,GIF17,GIF18,GIF19,GIF1,GIF2,GIF3,GIF4,GIF5,GIF6,GIF7,GIF8,GIF9,GIF10,GIF11,GIF12,GIF13,GIF14,GIF15,GIF16,GIF17,GIF18,GIF19,GID Pre,GID Post
Physics_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.111111111111111,4.111111111111111
104,4.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,,5.0,5.0,5.0,3.0,,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.277777777777778,4.352941176470588
107,4.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,7.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,3.5789473684210527,3.6315789473684212
108,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,,,3.0,1.0,2.0,5.0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,,,3.0,5.0,2.0,,3.0,3.0,2.411764705882353,2.5
211,2.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,7.0,,3.0,3.0,2.0,3.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,3.111111111111111,
214,4.0,4.0,3.0,4.0,1.0,4.0,,5.0,5.0,4.0,3.0,7.0,,4.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,1.0,4.0,,5.0,5.0,3.0,3.0,4.0,,4.0,1.0,3.0,4.0,3.0,3.0,3.9411764705882355,3.3529411764705883
216,2.0,4.0,2.0,4.0,2.0,3.0,,3.0,2.0,3.0,1.0,,4.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,,2.0,2.0,3.0,2.0,,3.0,,1.0,1.0,3.0,2.0,4.0,2.4705882352941178,2.375
