PID	Gender	Group	Cmp.Stdy
103	M	Trad	Y
110	M	Trad	Y
212	M	Trad	Y
217	M	Trad	Y
219	M	Trad	Y
327	M	Trad	Y
453	M	Trad	Y
457	M	Trad	N
463	M	Trad	Y
464	M	Trad	Y
467	M	Trad	Y
468	M	Trad	Y
470	M	Trad	Y
577	M	Trad	Y
579	M	Trad	N
581	M	Trad	Y
586	M	Trad	Y
587	M	Trad	Y
597	M	Trad	Y
598	M	Trad	Y
606	M	Trad	Y
607	M	Trad	Y
608	M	Trad	Y
611	M	Trad	N
613	M	Trad	Y
617	M	Trad	Y
619	M	Trad	Y
624	M	Trad	Y
627	M	Trad	Y
101	F	Trad	Y
107	F	Trad	Y
108	F	Trad	Y
213	F	Trad	N
216	F	Trad	Y
218	F	Trad	Y
320	F	Trad	Y
322	F	Trad	N
323	F	Trad	Y
328	F	Trad	Y
329	F	Trad	N
330	F	Trad	Y
331	F	Trad	Y
343	F	Trad	Y
333	F	Trad	Y
348	F	Trad	Y
349	F	Trad	Y
452	F	Trad	N
456	F	Trad	N
458	F	Trad	Y
462	F	Trad	Y
574	F	Trad	Y
588	F	Trad	Y
592	F	Trad	Y
593	F	Trad	Y
605	F	Trad	Y
614	F	Trad	Y
615	F	Trad	Y
616	F	Trad	N
625	F	Trad	Y
634	F	Trad	Y
102	M	Mod	Y
106	M	Mod	Y
215	M	Mod	Y
325	M	Mod	Y
332	M	Mod	N
334	M	Mod	Y
335	M	Mod	Y
336	M	Mod	Y
337	M	Mod	Y
338	M	Mod	Y
340	M	Mod	Y
341	M	Mod	Y
347	M	Mod	Y
451	M	Mod	Y
459	M	Mod	Y
469	M	Mod	Y
503	M	Mod	Y
571	M	Mod	Y
575	M	Mod	N
578	M	Mod	Y
580	M	Mod	N
585	M	Mod	Y
594	M	Mod	Y
595	M	Mod	Y
596	M	Mod	Y
628	M	Mod	N
629	M	Mod	Y
630	M	Mod	Y
633	M	Mod	Y
604	M	Mod	Y
609	M	Mod	Y
610	M	Mod	Y
612	M	Mod	Y
620	M	Mod	Y
621	M	Mod	Y
622	M	Mod	Y
626	M	Mod	Y
104	F	Mod	Y
214	F	Mod	Y
321	F	Mod	Y
324	F	Mod	Y
339	F	Mod	Y
342	F	Mod	Y
344	F	Mod	Y
345	F	Mod	Y
346	F	Mod	Y
350	F	Mod	Y
455	F	Mod	Y
460	F	Mod	Y
465	F	Mod	Y
502	F	Mod	Y
572	F	Mod	Y
573	F	Mod	Y
582	F	Mod	Y
584	F	Mod	Y
589	F	Mod	Y
590	F	Mod	N
591	F	Mod	Y
618	F	Mod	Y
623	F	Mod	Y
631	F	Mod	Y
