ID	CourseGrade
101	2
102	3
103	3.33
104	4
106	2.67
107	2
108	3
110	4
212	3
214	3.67
215	4
216	3
217	4
218	3
219	3
320	1
321	4
323	4
324	4
325	3
327	2
328	1
330	3.33
331	3.67
333	3
334	4
335	3
336	4
337	2
338	3
339	2
340	4
341	3
342	4
343	3.33
344	1
345	2
346	2
347	3
348	4
349	2
350	4
451	3.67
453	3.33
455	2
458	0.67
459	4
460	3.33
462	2.33
463	2.33
464	3.33
465	3
467	3
468	2.67
469	3
470	0
502	3.67
503	4
571	2
572	3.33
573	2.33
574	4
577	2.33
578	0
581	3.67
582	3
584	2
585	2.33
586	2
587	4
588	3.67
589	3
591	3
592	3
593	2.67
594	3
595	3.33
596	4
597	4
598	3.67
604	3
605	0
606	4
607	3
608	2
609	3
610	2
612	4
613	4
614	3
615	0
617	3
618	2
619	2
620	2
621	3.33
622	4
623	3.67
624	0
625	2
626	3.33
627	2
629	4
630	3.33
631	2.33
633	4
634	2.33
