	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean FCI Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen1 RT	Mean Control Screen2 RT	Mean Control Screen3 RT	Gender	Class	Group
0	101	session-0	0.333333	0.888889	20889.666667	18146.111111	7194.111111	6198.0	7497.555556	7245.444444	2817.666667	8083.0	F	Trad	F_Trad
1	101	session-1	0.444444	1.0	15754.111111	15741.888889	5844.777778	4764.888889	5144.444444	6333.777778	3370.111111	6038.0	F	Trad	F_Trad
2	102	session-0	0.222222	0.888889	18121.111111	15907.111111	7461.777778	4093.555556	6565.777778	6357.888889	2415.777778	7133.444444	M	Mod	M_Mod
3	102	session-1	0.555556	1.0	17289.0	16284.555556	4861.111111	4589.555556	7838.333333	5885.888889	2055.666667	8343.0	M	Mod	M_Mod
4	103	session-0	0.444444	1.0	20477.666667	14463.555556	5530.777778	5820.0	9126.888889	5617.777778	1953.222222	6892.555556	M	Trad	M_Trad
5	103	session-1	0.777778	1.0	23510.333333	17462.0	5650.444444	5421.222222	12438.666667	5695.666667	2634.555556	9131.777778	M	Trad	M_Trad
6	104	session-0	0.444444	0.888889	29051.888889	18738.444444	10098.0	10530.444444	8423.444444	7480.777778	3853.222222	7404.444444	F	Mod	F_Mod
7	104	session-1	0.555556	1.0	20007.0	16993.666667	8777.555556	6751.0	4478.444444	8680.333333	2781.444444	5531.888889	F	Mod	F_Mod
8	106	session-0	0.333333	1.0	17367.333333	12109.333333	6488.0	3731.0	7148.333333	5305.333333	2185.444444	4618.555556	M	Mod	M_Mod
9	106	session-1	0.333333	1.0	20949.111111	14654.777778	6630.555556	5566.666667	8751.888889	6308.777778	2677.666667	5668.333333	M	Mod	M_Mod
10	107	session-0	0.333333	1.0	23110.555556	16381.666667	7587.888889	5399.666667	10123.0	6523.111111	2144.888889	7713.666667	F	Trad	F_Trad
11	107	session-1	0.444444	1.0	20025.222222	15737.444444	5463.222222	4553.666667	10008.333333	5832.0	2903.777778	7001.666667	F	Trad	F_Trad
12	108	session-0	0.444444	1.0	20161.555556	16219.666667	7886.333333	4666.444444	7608.777778	6897.777778	2700.333333	6621.555556	F	Trad	F_Trad
13	108	session-1	0.555556	1.0	22317.666667	17648.888889	7354.333333	4847.0	10116.333333	7920.111111	2703.555556	7025.222222	F	Trad	F_Trad
14	110	session-0	0.222222	1.0	15039.333333	13570.111111	5341.222222	3811.555556	5886.555556	5712.888889	2420.333333	5436.888889	M	Trad	M_Trad
15	110	session-1	0.777778	1.0	20518.0	13104.333333	6056.333333	4356.444444	10105.222222	5784.222222	1972.777778	5347.333333	M	Trad	M_Trad
16	212	session-0	0.333333	1.0	26136.222222	21012.333333	7909.444444	4726.0	13500.777778	8362.666667	3082.555556	9567.111111	M	Trad	M_Trad
17	212	session-1	0.777778	0.888889	22224.444444	21746.444444	6446.777778	4869.555556	10908.111111	7638.666667	3800.333333	10307.444444	M	Trad	M_Trad
18	213	session-0	0.333333	1.0	20712.222222	14020.222222	7024.222222	7200.111111	6487.888889	7046.777778	2524.888889	4448.555556	F	Trad	F_Trad
19	214	session-0	0.222222	0.888889	18095.444444	13719.0	7167.0	4149.333333	6779.111111	6796.777778	2339.555556	4582.666667	F	Mod	F_Mod
20	214	session-1	0.555556	1.0	15262.777778	14867.444444	5692.888889	4607.333333	4962.555556	6103.777778	2300.333333	6463.333333	F	Mod	F_Mod
21	215	session-0	0.555556	1.0	20502.222222	13639.666667	6271.333333	4603.777778	9627.111111	5948.333333	2079.444444	5611.888889	M	Mod	M_Mod
22	215	session-1	0.555556	1.0	17362.555556	14346.777778	6666.777778	3515.333333	7180.444444	6531.333333	2381.111111	5434.333333	M	Mod	M_Mod
