	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean Control Screen1 RT	Mean FCI Screen2 RT	Mean Control Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen3 RT	Gender	Class	Group
0	101	session-0	0.333333	0.888889	20889.66667	18146.11111	7194.111111	7245.444444	6198	2817.666667	7497.555556	8083	F	Trad	F_Trad
1	101	session-1	0.444444	1	15754.11111	15741.88889	5844.777778	6333.777778	4764.888889	3370.111111	5144.444444	6038	F	Trad	F_Trad
2	102	session-0	0.222222	0.888889	18121.11111	15907.11111	7461.777778	6357.888889	4093.555556	2415.777778	6565.777778	7133.444444	M	Mod	M_Mod
3	102	session-1	0.555556	1	17289	16284.55556	4861.111111	5885.888889	4589.555556	2055.666667	7838.333333	8343	M	Mod	M_Mod
4	103	session-0	0.444444	1	20477.66667	14463.55556	5530.777778	5617.777778	5820	1953.222222	9126.888889	6892.555556	M	Trad	M_Trad
5	103	session-1	0.777778	1	23510.33333	17462	5650.444444	5695.666667	5421.222222	2634.555556	12438.66667	9131.777778	M	Trad	M_Trad
6	104	session-0	0.444444	0.888889	29051.88889	18738.44444	10098	7480.777778	10530.44444	3853.222222	8423.444444	7404.444444	F	Mod	F_Mod
7	104	session-1	0.555556	1	20007	16993.66667	8777.555556	8680.333333	6751	2781.444444	4478.444444	5531.888889	F	Mod	F_Mod
8	106	session-0	0.333333	1	17367.33333	12109.33333	6488	5305.333333	3731	2185.444444	7148.333333	4618.555556	M	Mod	M_Mod
9	106	session-1	0.333333	1	20949.11111	14654.77778	6630.555556	6308.777778	5566.666667	2677.666667	8751.888889	5668.333333	M	Mod	M_Mod
10	107	session-0	0.333333	1	23110.55556	16381.66667	7587.888889	6523.111111	5399.666667	2144.888889	10123	7713.666667	F	Trad	F_Trad
11	107	session-1	0.444444	1	20025.22222	15737.44444	5463.222222	5832	4553.666667	2903.777778	10008.33333	7001.666667	F	Trad	F_Trad
12	108	session-0	0.444444	1	20161.55556	16219.66667	7886.333333	6897.777778	4666.444444	2700.333333	7608.777778	6621.555556	F	Trad	F_Trad
13	108	session-1	0.555556	1	22317.66667	17648.88889	7354.333333	7920.111111	4847	2703.555556	10116.33333	7025.222222	F	Trad	F_Trad
14	110	session-0	0.222222	1	15039.33333	13570.11111	5341.222222	5712.888889	3811.555556	2420.333333	5886.555556	5436.888889	M	Trad	M_Trad
15	110	session-1	0.777778	1	20518	13104.33333	6056.333333	5784.222222	4356.444444	1972.777778	10105.22222	5347.333333	M	Trad	M_Trad
16	212	session-0	0.333333	1	26136.22222	21012.33333	7909.444444	8362.666667	4726	3082.555556	13500.77778	9567.111111	M	Trad	M_Trad
17	212	session-1	0.777778	0.888889	22224.44444	21746.44444	6446.777778	7638.666667	4869.555556	3800.333333	10908.11111	10307.44444	M	Trad	M_Trad
19	214	session-0	0.222222	0.888889	18095.44444	13719	7167	6796.777778	4149.333333	2339.555556	6779.111111	4582.666667	F	Mod	F_Mod
20	214	session-1	0.555556	1	15262.77778	14867.44444	5692.888889	6103.777778	4607.333333	2300.333333	4962.555556	6463.333333	F	Mod	F_Mod
21	215	session-0	0.555556	1	20502.22222	13639.66667	6271.333333	5948.333333	4603.777778	2079.444444	9627.111111	5611.888889	M	Mod	M_Mod
22	215	session-1	0.555556	1	17362.55556	14346.77778	6666.777778	6531.333333	3515.333333	2381.111111	7180.444444	5434.333333	M	Mod	M_Mod
23	216	session-0	0.444444	0.777778	14805.11111	12069.44444	4466.333333	4674.666667	4904.333333	3011.222222	5434.444444	4383.555556	F	Trad	F_Trad
24	216	session-1	0.555556	1	15742.66667	12181.33333	4624.666667	4730.777778	4233.222222	2569.777778	6884.777778	4880.777778	F	Trad	F_Trad
25	217	session-0	0.666667	1	18656.22222	15409	7705.333333	7811.222222	5651.666667	2867.888889	5299.222222	4729.888889	M	Trad	M_Trad
26	217	session-1	0.888889	1	17559.11111	14810	6486.444444	6656.777778	5655.333333	2062.777778	5417.333333	6090.444444	M	Trad	M_Trad
27	218	session-0	0.222222	1	21542.33333	18232.44444	7992.444444	7998.777778	4902.777778	3309.444444	8647.111111	6924.222222	F	Trad	F_Trad
28	218	session-1	0.555556	0.888889	21071.22222	22689.77778	8095.555556	9091.888889	5379.555556	4996.333333	7596.111111	8601.555556	F	Trad	F_Trad
29	219	session-0	0.777778	1	18851.33333	14494	6773.333333	6790.555556	5129.333333	2984.777778	6948.666667	4718.666667	M	Trad	M_Trad
30	219	session-1	0.777778	1	16643	14009.77778	6506.222222	6683.666667	4571	2521.222222	5565.777778	4804.888889	M	Trad	M_Trad
31	320	session-0	0.222222	0.777778	21531.77778	16618.44444	8149.888889	7665.555556	4927.777778	3740.444444	8454.111111	5212.444444	F	Trad	F_Trad
