	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Gender	Class	Group
0	101	session-0	0.333333	0.888889	20889.66667	18146.11111	F	Trad	F_Trad
1	101	session-1	0.444444	1	15754.11111	15741.88889	F	Trad	F_Trad
2	102	session-0	0.222222	0.888889	18121.11111	15907.11111	M	Mod	M_Mod
3	102	session-1	0.555556	1	17289	16284.55556	M	Mod	M_Mod
4	103	session-0	0.444444	1	20477.66667	14463.55556	M	Trad	M_Trad
5	103	session-1	0.777778	1	23510.33333	17462	M	Trad	M_Trad
6	104	session-0	0.444444	0.888889	29051.88889	18738.44444	F	Mod	F_Mod
7	104	session-1	0.555556	1	20007	16993.66667	F	Mod	F_Mod
8	106	session-0	0.333333	1	17367.33333	12109.33333	M	Mod	M_Mod
9	106	session-1	0.333333	1	20949.11111	14654.77778	M	Mod	M_Mod
10	107	session-0	0.333333	1	23110.55556	16381.66667	F	Trad	F_Trad
11	107	session-1	0.444444	1	20025.22222	15737.44444	F	Trad	F_Trad
12	108	session-0	0.444444	1	20161.55556	16219.66667	F	Trad	F_Trad
13	108	session-1	0.555556	1	22317.66667	17648.88889	F	Trad	F_Trad
14	110	session-0	0.222222	1	15039.33333	13570.11111	M	Trad	M_Trad
15	110	session-1	0.777778	1	20518	13104.33333	M	Trad	M_Trad
16	212	session-0	0.333333	1	26136.22222	21012.33333	M	Trad	M_Trad
17	212	session-1	0.777778	0.888889	22224.44444	21746.44444	M	Trad	M_Trad
19	214	session-0	0.222222	0.888889	18095.44444	13719	F	Mod	F_Mod
20	214	session-1	0.555556	1	15262.77778	14867.44444	F	Mod	F_Mod
21	215	session-0	0.555556	1	20502.22222	13639.66667	M	Mod	M_Mod
22	215	session-1	0.555556	1	17362.55556	14346.77778	M	Mod	M_Mod
23	216	session-0	0.444444	0.777778	14805.11111	12069.44444	F	Trad	F_Trad
24	216	session-1	0.555556	1	15742.66667	12181.33333	F	Trad	F_Trad
25	217	session-0	0.666667	1	18656.22222	15409	M	Trad	M_Trad
26	217	session-1	0.888889	1	17559.11111	14810	M	Trad	M_Trad
27	218	session-0	0.222222	1	21542.33333	18232.44444	F	Trad	F_Trad
28	218	session-1	0.555556	0.888889	21071.22222	22689.77778	F	Trad	F_Trad
29	219	session-0	0.777778	1	18851.33333	14494	M	Trad	M_Trad
30	219	session-1	0.777778	1	16643	14009.77778	M	Trad	M_Trad
31	320	session-0	0.222222	0.777778	21531.77778	16618.44444	F	Trad	F_Trad
32	320	session-1	0.333333	1	26446.88889	21292.77778	F	Trad	F_Trad
33	321	session-0	0.333333	1	24482.77778	18012.55556	F	Mod	F_Mod
34	321	session-1	0.555556	1	20185.33333	16963.22222	F	Mod	F_Mod
36	323	session-0	0.333333	1	19800.55556	17758.11111	F	Trad	F_Trad
37	323	session-1	0.777778	1	21023.44444	17290.77778	F	Trad	F_Trad
38	324	session-0	0.111111	0.777778	17861	15216	F	Mod	F_Mod
39	324	session-1	0.444444	1	17052	13445.11111	F	Mod	F_Mod
40	325	session-0	0.333333	1	18852.11111	12554.44444	M	Mod	M_Mod
41	325	session-1	0.777778	1	21633.33333	15645.77778	M	Mod	M_Mod
42	327	session-0	0.555556	1	19689.33333	15355.33333	M	Trad	M_Trad
43	327	session-1	0.666667	1	24042.11111	17376.11111	M	Trad	M_Trad
44	328	session-0	0.333333	1	17518.33333	13221.88889	F	Trad	F_Trad
45	328	session-1	0.444444	1	16751.22222	13007.44444	F	Trad	F_Trad
47	330	session-0	0.333333	1	26640.77778	17055.77778	F	Trad	F_Trad
48	330	session-1	0.777778	1	24248.22222	20838	F	Trad	F_Trad
49	331	session-0	0.555556	1	32614.66667	18515	F	Trad	F_Trad
50	331	session-1	0.444444	1	22054.11111	14151.22222	F	Trad	F_Trad
52	333	session-0	0.222222	1	30863.55556	18640.88889	F	Trad	F_Trad
53	333	session-1	0.333333	1	16465.88889	14157.44444	F	Trad	F_Trad
54	334	session-0	0.444444	1	23670	17843.22222	M	Mod	M_Mod
