Subject	Session	Mean Reasoning Accuracy	Mean Correct RT	Mean Incorrect RT	Gender
101	post	0.65	3990.65384615	3552.57142857	F
102	post	0.9	2846.47222222	4246.75	M
103	post	0.825	3906.03030303	2243.14285714	M
104	post	0.925	2619.05405405	4688.0	F
106	post	0.85	3410.67647059	4338.66666667	M
107	post	0.85	2783.64705882	4065.66666667	F
108	post	1.0	2202.275		F
110	post	0.875	2474.31428571	2802.8	M
212	post	0.6	5102.375	4604.875	M
214	post	0.825	2771.75757576	4868.0	F
215	post	0.9	2892.47222222	2690.0	M
216	post	0.825	3088.51515152	5310.14285714	F
217	post	0.75	3877.96666667	2097.4	M
218	post	0.75	4143.2	3486.9	F
219	post	0.95	2375.23684211	4515.0	M
320	post	0.775	3525.70967742	4391.33333333	F
321	post	0.925	3863.08108108	3091.33333333	F
323	post	0.7	3405.82142857	2842.58333333	F
324	post	0.925	2346.72972973	3073.0	F
325	post	0.925	2586.78378378	4002.0	M
327	post	0.925	3409.48648649	4288.66666667	M
328	post	0.95	1858.97368421	2968.5	F
330	post	1.0	1644.325		F
331	post	0.875	2975.62857143	3822.8	F
333	post	0.925	2448.94594595	3822.33333333	F
334	post	0.575	1898.56521739	2029.76470588	M
335	post	0.675	3554.59259259	3286.61538462	M
336	post	0.975	2351.41025641	1777.0	M
337	post	0.9	2578.27777778	4153.25	M
338	post	0.975	3151.35897436	4368.0	M
339	post	0.775	3945.4516129	4237.66666667	F
340	post	0.975	1939.17948718	5647.0	M
341	post	0.875	3791.68571429	4392.0	M
342	post	0.8	3521.1875	3087.25	F
343	post	0.9	2792.0	3392.0	F
344	post	0.95	2871.89473684	470.5	F
345	post	0.75	3038.16666667	3716.8	F
347	post	0.75	4527.86666667	3758.0	M
348	post	0.925	2268.97297297	3746.0	F
349	post	0.825	2456.51515152	1863.85714286	F
350	post	0.8	3385.0	2584.5	F
451	post	0.9	2984.58333333	3111.75	M
453	post	0.95	2725.63157895	3823.0	M
455	post	0.75	3895.16666667	3930.8	F
457	post	0.95	2314.39473684	3727.5	M
458	post	0.825	3036.21212121	2199.28571429	F
459	post	0.95	1727.55263158	2808.0	M
460	post	0.825	2935.48484848	3126.28571429	F
462	post	0.875	2919.17142857	3181.0	F
463	post	0.95	2718.52631579	2982.0	M
464	post	0.9	3479.58333333	3167.25	M
465	post	0.6	4600.08333333	1889.75	F
467	post	1.0	2077.0		M
468	post	0.875	3178.4	2253.8	M
469	post	0.975	3054.97435897	0.0	M
470	post	0.975	2737.48717949	2064.0	M
502	post	0.875	4215.34285714	2519.8	F
503	post	0.9	3017.27777778	4649.5	M
571	post	0.7	3233.28571429	4247.75	M
572	post	0.9	2622.16666667	2904.75	F
573	post	0.7	4049.71428571	2686.66666667	F
574	post	0.975	2457.87179487	98.0	F
577	post	0.9	2396.5	3307.5	M
578	post	0.825	4275.3030303	2794.57142857	M
581	post	0.875	3737.6	3036.8	M
582	post	0.875	3026.65714286	2352.2	F
584	post	0.725	2891.4137931	2672.45454545	F
585	post	0.85	3390.79411765	2202.16666667	M
586	post	0.95	3843.84210526	0.0	M
587	post	0.8	3264.71875	4042.5	M
588	post	0.8	3064.1875	4422.625	F
589	post	0.85	3869.94117647	4435.0	F
591	post	0.775	2380.64516129	517.555555556	F
592	post	0.9	1485.22222222	3036.5	F
593	post	0.85	3556.20588235	4384.5	F
594	post	0.85	2862.70588235	4717.66666667	M
595	post	0.85	3452.35294118	4644.5	M
596	post	0.825	3587.06060606	4377.42857143	M
597	post	0.9	3297.05555556	3698.25	M
598	post	0.975	3120.56410256	0.0	M
604	post	0.65	4172.76923077	4158.21428571	M
605	post	0.95	2801.02631579	2741.0	F
606	post	0.85	2633.73529412	318.0	M
607	post	0.9	3483.94444444	3378.0	M
608	post	0.825	2608.57575758	3523.14285714	M
609	post	0.725	2914.89655172	3156.45454545	M
610	post	0.75	3509.26666667	4123.0	M
612	post	0.9	2137.75	2947.25	M
613	post	0.825	3320.21212121	1323.14285714	M
614	post	1.0	2903.55		F
615	post	0.725	3737.31034483	3975.09090909	F
617	post	0.975	2179.74358974	3916.0	M
618	post	0.55	4225.45454545	4181.0	F
619	post	0.825	2900.66666667	2835.85714286	M
620	post	0.9	2439.27777778	3918.5	M
621	post	0.9	3553.13888889	1903.5	M
622	post	0.775	3529.58064516	3184.11111111	M
623	post	0.9	3450.25	3201.5	F
624	post	0.875	2815.54285714	1831.8	M
625	post	0.8	2942.84375	3380.875	F
626	post	0.9	2977.25	4154.25	M
627	post	0.825	2779.0	3631.42857143	M
629	post	0.85	3333.02941176	2233.5	M
630	post	0.85	3694.05882353	2594.16666667	M
631	post	0.75	3059.26666667	3333.4	F
633	post	0.95	3060.68421053	2100.0	M
634	post	0.925	3063.91891892	2969.66666667	F
