Subject	Session	Mean Reasoning Accuracy	Mean Correct RT	Mean Incorrect RT	Gender
101	pre	0.75	3578.63333333	3392.8	F
102	pre	0.9	2555.30555556	2294.5	M
103	pre	0.975	3276.1025641	0.0	M
104	pre	0.925	2538.7027027	4585.66666667	F
106	pre	0.975	3568.1025641	4679.0	M
107	pre	0.95	2880.71052632	1903.0	F
108	pre	0.875	1795.68571429	2348.2	F
110	pre	1.0	1874.575		M
212	pre	0.65	4221.38461538	3846.0	M
213	pre	0.825	2745.6969697	2926.14285714	F
214	pre	0.775	2064.32258065	2184.22222222	F
215	pre	0.75	3348.33333333	2230.4	M
216	pre	0.775	3307.80645161	4315.77777778	F
218	pre	0.775	3677.64516129	4181.66666667	F
219	pre	0.9	2897.33333333	3916.75	M
320	pre	0.75	3331.86666667	3134.9	F
321	pre	0.775	3783.77419355	3186.44444444	F
322	pre	0.675	4221.81481481	4058.15384615	F
323	pre	0.725	3253.62068966	2854.18181818	F
324	pre	0.7	3184.17857143	3398.33333333	F
325	pre	0.875	2081.88571429	4295.2	M
327	pre	0.975	3192.69230769	0.0	M
328	pre	0.8	2326.96875	2778.375	F
329	pre	0.825	3911.51515152	3019.57142857	F
330	pre	0.95	1821.23684211	2820.5	F
331	pre	0.8	4157.6875	3329.125	F
332	pre	0.875	3907.28571429	5016.0	M
333	pre	0.85	3028.17647059	3026.5	F
334	pre	0.575	2725.86956522	3751.05882353	M
335	pre	0.6	2378.0	2427.875	M
336	pre	0.925	3123.62162162	1245.0	M
337	pre	0.95	2864.07894737	2032.5	M
338	pre	0.875	2980.57142857	4341.4	M
339	pre	0.75	4413.73333333	3054.6	F
340	pre	0.95	2115.47368421	5051.5	M
341	pre	0.825	3725.54545455	4654.71428571	M
342	pre	0.875	3175.0	2903.6	F
343	pre	0.9	2824.02777778	3027.25	F
344	pre	0.85	3091.79411765	3343.83333333	F
345	pre	0.925	3265.54054054	5289.0	F
346	pre	0.8	5058.9375	1746.25	F
347	pre	0.8	4015.46875	2050.875	M
348	pre	0.9	2392.83333333	2644.0	F
349	pre	0.875	2519.08571429	3643.0	F
350	pre	0.775	3259.0	3207.44444444	F
451	pre	0.9	3570.19444444	1358.5	M
452	pre	0.9	2492.55555556	2817.5	F
453	pre	0.9	3287.77777778	3591.5	M
455	pre	0.875	4064.22857143	5079.2	F
456	pre	0.95	2416.05263158	4542.0	F
457	pre	0.95	2159.34210526	2743.5	M
458	pre	0.7	2731.42857143	3131.58333333	F
459	pre	0.875	2249.51428571	3399.6	M
460	pre	0.925	3051.10810811	2111.0	F
462	pre	0.7	3243.92857143	3981.75	F
463	pre	0.75	3045.43333333	4862.5	M
464	pre	0.875	3425.25714286	3130.6	M
465	pre	0.625	5200.84	2997.26666667	F
467	pre	0.95	2108.07894737	481.0	M
468	pre	0.875	3572.34285714	2139.8	M
469	pre	0.975	3560.56410256	3432.0	M
470	pre	0.8	2808.5625	3661.125	M
503	pre	0.925	3415.81081081	2219.33333333	M
571	pre	0.775	3726.64516129	4051.77777778	M
572	pre	0.95	3153.42105263	3936.5	F
573	pre	0.65	3710.0	3117.85714286	F
574	pre	0.9	3054.80555556	4029.5	F
575	pre	0.8	4064.03125	3360.75	M
577	pre	0.95	2860.81578947	1806.0	M
578	pre	0.775	4101.77419355	2706.77777778	M
579	pre	0.7	3337.39285714	4062.75	M
580	pre	0.875	2416.48571429	3089.8	M
581	pre	0.775	3555.16129032	3787.0	M
582	pre	0.1	4024.5	1798.86111111	F
584	pre	0.825	4051.09090909	2652.85714286	F
585	pre	0.8	2973.6875	4848.0	M
586	pre	0.825	4389.63636364	4046.14285714	M
587	pre	0.75	4076.63333333	1869.8	M
588	pre	0.875	3695.4	4243.4	F
589	pre	0.775	4321.32258065	4676.0	F
590	pre	0.825	3267.21212121	4776.85714286	F
591	pre	0.8	2695.46875	2278.75	F
592	pre	0.975	2361.41025641	1688.0	F
593	pre	0.775	4394.29032258	4201.77777778	F
594	pre	0.925	3204.24324324	4165.66666667	M
595	pre	0.775	3580.35483871	4224.22222222	M
596	pre	0.9	4793.5	4107.75	M
597	pre	0.8	2943.125	3886.625	M
598	pre	0.875	3650.45714286	2657.6	M
604	pre	0.725	4337.37931034	4238.63636364	M
605	pre	0.925	3152.48648649	4374.33333333	F
606	pre	0.775	3244.61290323	1935.44444444	M
607	pre	0.8	3846.6875	4308.625	M
608	pre	0.8	4066.6875	3596.5	M
609	pre	0.8	3623.0625	4206.0	M
610	pre	0.825	3924.42424242	5118.14285714	M
611	pre	0.9	3439.91666667	3002.0	M
612	pre	0.825	2443.15151515	4506.85714286	M
613	pre	0.75	3606.8	3313.6	M
614	pre	0.975	2909.69230769	0.0	F
615	pre	0.75	4564.1	3911.1	F
616	pre	0.8	4075.625	1809.5	F
617	pre	1.0	2739.825		M
618	pre	0.375	3359.93333333	3569.16	F
619	pre	0.85	2548.44117647	5122.83333333	M
620	pre	0.9	2423.16666667	3167.0	M
621	pre	0.95	3569.23684211	5261.0	M
622	pre	0.95	2997.63157895	5654.5	M
623	pre	0.875	4034.48571429	3238.8	F
624	pre	0.7	3840.35714286	2868.83333333	M
625	pre	0.725	3263.06896552	3964.72727273	F
626	pre	0.875	2884.8	2584.0	M
627	pre	0.925	3376.16216216	4230.66666667	M
628	pre	0.625	3316.68	2480.26666667	M
629	pre	0.85	3811.91176471	4452.83333333	M
630	pre	0.825	4382.87878788	667.285714286	M
631	pre	0.8	3374.8125	3959.375	F
633	pre	0.8	3816.21875	5069.125	M
634	pre	0.975	3416.94871795	0.0	F
