Term,Weight
default,402.73556170218416
default_mode_network,306.14698107791094
retrieval,303.89348132151326
attention,225.75256992063137
judgments,191.25341067525358
self,179.48758541655116
number,172.1408199203991
seed,171.4855949910545
monitoring,169.6543648671648
intrinsic,161.59140656207967
decision,151.21368636381524
cognitive_control,148.45208209638884
working_memory,145.7279315371268
explore,135.69567134373483
memory,132.59176358229655
spontaneous,130.47648941210727
default_mode,124.7101452244908
judgment,122.18786967819064
knowledge,117.39388299953202
novel,112.18608656607498
presence,111.70160408030979
issue,111.18273664820408
moral,110.19974960649421
goal,109.74709751653721
address,106.86078970249605
demands,102.65567511368322
reasoning,102.51785122263618
executive,102.37310314831933
regression,102.27603343560486
bpd,100.29796378912482
view,99.15851635085124
strategies,95.0960740981821
examining,90.747703887549
scale,88.03341295533048
free,87.28116192179822
ataxia,83.65451343797244
neurocognitive,83.05984427384155
episodic,81.58809134931161
perspective,81.08819153988037
factor,80.88708286418479
explored,80.56778346518277
attentional,79.67923943555567
timing,78.80019702666137
variations,77.02058228163008
spatial,76.21668918566743
hierarchical,74.50057655269484
throughout,74.47821713459113
regulation,74.41552847736605
deactivations,73.99489260212611
abstract,73.41967152510983
decisions,73.35779650907348
adult,73.08062134372574
recall,72.99066676746496
status,72.6535423724886
report,71.97276760245319
predict,71.86889999384007
virtual,71.65967058035521
relate,71.34508205490688
ts,70.60515530111698
comprising,70.14440551198066
switching,70.0158958674909
evaluation,66.64079607557113
memories,65.95035479561477
behaviors,65.84082002151577
lobules,65.63107172203404
variables,65.19135606687458
reward,64.25558537355018
cr,63.93673716789455
engagement,63.3136702004783
clarify,62.01242706919595
importance,61.61638801095677
intra,61.51509005169396
strategy,60.12574065134889
category,59.72928732155075
optimal,59.372787830413664
recognition,59.270950466284134
line,58.80914852503852
influences,58.74842877873184
situation,58.12354556977734
uncertainty,57.943952586762514
demanding,57.90594168243907
iv,57.545300423122704
mediate,57.53478707604273
predominantly,57.04469233199683
major,56.857210412925035
methodology,56.06627408596431
coupling,55.58898040519088
exposed,55.529473667570954
executive_control,55.339011225094005
estimated,55.24007475926496
contrasting,55.22623959957215
implementation,54.98538571570023
navigation,54.0478394637658
relational,53.98122656502531
instructed,53.896001133311216
animal,53.81167013591933
contextual,53.437348583277334
directed,53.382702951045104
rostrolateral,53.3541426409872
deactivated,52.634002020067314
outcomes,52.41250805008765
expectancy,51.96618700822326
third,51.71051474229002
salience_network,50.39338186431147
instructions,49.31025190055962
similarities,49.17672288904807
weaker,49.144358759991405
affects,49.021358929934294
conceptual,48.77437261326909
rate,48.66873411841492
subserve,48.608124207789345
history,48.279838811490535
question,48.1468485318076
conclusion,47.45154199635416
characteristic,47.42550615946218
duration,47.424937159759224
manipulation,47.40049021396311
thickness,47.38289751714168
relation,47.193859924021865
interestingly,47.12070396315756
frequently,46.74272749287357
complexity,46.73572206787587
daily,46.53965367856307
recruit,46.27264278730955
decision_making,45.99193485892098
internally,45.52914787170672
unique,45.00265784121002
correction,44.79278897301779
investigations,44.73152672799931
encoded,44.60258033645282
nine,44.47193446774701
adaptive,43.58690432275927
ba10,43.400327333789335
conjunction,43.3443183319705
reappraisal,43.20720589713744
pathway,43.09258271059019
version,42.90855064424081
respond,42.76876840746772
attempt,42.38135363257486
characteristics,42.35722970406845
egocentric,42.258661195910044
manner,42.242489163208944
responding,41.83002174490744
route,41.195495971037666
value,41.02870292899978
situations,40.893529803215905
memory_retrieval,40.85079382509816
vary,40.366901426468914
reaction_time,40.35311606569248
failure,40.06572251450221
autobiographical,39.95066298213951
signatures,39.910651511425996
rsn,39.90647598460329
concrete,39.87594063918826
severity,39.624957641510406
dedicated,39.49645804004186
social,39.11798231918668
bias,39.10677307380196
increasingly,39.036670105218825
demand,38.97699015840128
estimation,38.91268141528631
manifest,38.49660815543454
controlling,38.278948154935726
strategic,38.267681174933834
beyond,38.09471154139781
everyday,38.08298929675813
emotion_regulation,37.90065988147834
accurate,37.46571465620026
identifying,37.41196762269352
concepts,37.385597268326414
aging,37.11712564797452
sessions,37.041033021716764
humor,36.731032758957056
opposite,36.6674303272511
subregion,36.342801160066685
maintain,36.12300591440582
abilities,36.104516714591924
relations,36.077472367173364
reality,36.00110321159975
deception,35.922809402865944
conversely,35.436494272146106
available,35.38735487595229
bipolar,35.35659160594199
categories,35.302805700385704
performances,35.06847447056427
trend,35.02867301740508
reflects,34.99337059464766
success,34.599239230769896
slow,34.58351709444478
