Term,Weight
switching,309.710839979985
default,276.1635172906068
motion,252.57534676654086
reasoning,214.56723863108832
gestures,211.2976516024625
ambiguous,180.1752178065207
default_mode,147.89868786306369
switch,137.35898333606005
body,135.9365734556702
relational,117.17245571326195
gesture,106.5366705697822
numbers,85.16140994661097
deception,85.06564551795672
numerical,82.25292480489266
salience_network,80.9382375935319
demands,78.18264880037617
rostrolateral,77.93899782391578
grasping,74.10263098749698
desire,73.47779563845927
arithmetic,72.85516446589257
belief,71.15099504095565
videos,67.76160368708757
ambiguity,66.23543553689262
subregion,66.16867395831827
interpretation,62.85894838927955
bodies,62.39932373019601
visuo,61.811554899424856
moment,60.82726968299066
intra,60.39846109695061
drawing,60.273690148111385
static,57.70520231951997
inference,56.25962451200249
touch,55.98027737991997
icns,54.56246772894159
fnc,53.66862551090203
drawings,52.48933576520233
symbolic,52.076567965411286
accurately,51.13739709060469
watched,51.13223401160981
coactivation,50.43725854856065
task_switching,48.443883449042985
calculation,46.51330701642385
ordinary,46.31237406528351
vstm,45.837132174479216
takes,45.270595671336444
modify,44.95458185693455
grasp,44.79992973630011
rsn,43.84871951360287
lotc,43.10593021448043
hierarchical,43.0007963077319
lying,42.71360658423075
magnitudes,42.33665318536514
video_clips,40.96148366615738
ba10,39.327623673544316
directional,38.446871482535585
truth,37.93804768215311
unambiguous,37.212107046037744
hands,34.94519322930087
manipulating,33.53136030683845
motion_perception,33.373424224139846
animate,32.83941365489587
default_mode_networks,32.655731722839505
postulate,32.15364069910345
psas,31.71360133159488
inanimate,31.037219549162597
switches,30.81106293682981
actor,30.692366521124313
implicature,30.572265841811912
signatures,29.807504908160915
accessed,29.594967569778316
fr,29.010675332658682
updating,28.222034788022036
beliefs,28.203951090093295
iconic,27.553614116290245
multiplication,27.257205577340706
gppi,27.005177971498878
passivity,26.91514234857282
respond,26.504500201111128
situational,26.209230177677735
debate,26.136105092859612
manifesting,25.727118875101365
occluded,25.57341840938255
logical,25.184158776063953
sud,25.010444759592612
mentalizing,24.963384148284675
subsystems,24.69909595994835
closer,23.29407254117958
subordinate,23.23722058373743
executive_control,22.766393381505598
relates,22.522289987253576
analogy,22.44535445288176
rai,22.328216188706666
movie,22.284447111960176
switched,21.994023410796604
specification,21.9088089959177
concussed,21.884139164643535
numerosity,21.632702839159286
analogical_reasoning,21.340151821211126
onsets,20.87100428492646
intentions,20.829131277904338
oa,20.77536891107431
lag,20.706813775972194
frois,20.5750649096244
midfusiform,20.5750649096244
stm,20.376034765866454
central_executive,20.267492979199083
postures,20.110042304142503
video,20.05919416906464
inherently,20.037000238817193
messages,19.981091339278688
persuasive,19.93240994669378
ax,19.73777105562007
religious,19.662544798562394
disentangle,19.47815071956345
summary,19.428997078440982
pitg,19.20339391564944
broadly,19.01271499706635
robot,18.9137759627717
afterwards,18.741086422054668
explorative,18.382962216138726
palm,18.132515259040993
evolutionary,17.873425998869045
matrices,17.752843353768235
quantity,17.73881632811062
deceptive,17.31812045979628
quantifiers,17.30616227132743
meanings,16.991046333519634
persuasion,16.763786023787596
identifying,16.74976499049586
rhyming,16.4466590875384
