Term,Weight
motion,633.725214558641
body,478.380183229118
switching,267.1527427536721
gestures,233.93105146115
ambiguous,225.58046965515325
reasoning,153.39202010292473
static,126.12530320179877
bodies,123.1749244027713
switch,118.37101583057915
gesture,117.86806818012786
touch,110.24735638549727
videos,94.7288970155144
grasping,93.49673060491735
relational,86.10242319881286
desire,82.17557484046499
interpretation,80.31205845988595
ambiguity,76.0152811744581
watched,75.01840947223108
drawing,72.90113145665475
gaze,70.87708385339282
belief,70.1714151505772
mentalizing,69.54476412746543
deception,65.59798477312842
lotc,62.87700554715803
hands,60.50863710634181
grasp,59.66804156464297
inference,58.05755994066469
drawings,55.52876929100817
animate,54.496105850263
video_clips,54.29521817448568
beliefs,53.30080917301111
intentions,52.98098725869882
numbers,51.3917277945336
inanimate,50.949410336195456
motion_perception,50.310954399961986
visuo,49.923695194145495
movie,48.828806748379975
salience_network,48.37667221565483
unambiguous,47.440186937911484
arithmetic,46.80774745169478
numerical,46.46431358540159
task_switching,46.2501905714389
directional,44.25366154815352
actor,43.144017931161905
subregion,41.525172663997154
meanings,41.26714493989011
modify,39.91874709951536
moment,38.735648589296225
default_mode,38.537606350051554
symbolic,38.374840580485994
moving,38.325037376104376
debate,38.009705853392724
magnitudes,37.95750204491944
situational,37.60945530102593
biological_motion,37.43721310137711
agents,37.42631721097276
rostrolateral,36.90106076394882
posture,35.77211585443196
postures,35.59088705221676
movies,35.47597688445501
video,35.26641552752641
takes,35.11304907038604
iconic,34.99260878295655
icns,33.02448223357357
fnc,32.95274250933415
ordinary,30.760302008261927
lying,30.27921813573846
subordinate,30.121892262775916
truth,29.61597063472298
switches,29.511649636546764
intention,28.923902833113637
coactivation,27.918408858721875
robot,27.172166318895734
calculation,26.48328397452182
accurately,24.881207350816855
frois,24.412799389868667
midfusiform,24.412799389868667
onsets,24.213418705036982
touched,23.372065263832926
palm,22.923374315877112
pitg,22.78527943054409
switched,22.679155224532277
inferring,21.967312500121693
sud,21.617540623529596
logical,21.525620884337144
relates,21.002071011876104
occluded,20.921086472040262
roughness,20.70097209082345
postulate,20.70005565813132
rhyming,20.52664906314613
default_mode_networks,19.451489865137372
false_belief,18.98091194387454
cup,18.97091609738607
concussed,18.9153480455884
wherein,18.732449717093203
deaf,18.717110346791806
manipulating,18.301896123032996
psas,18.156961874590248
analogy,17.68233646403221
rai,17.453829268156227
resolving,17.317071217499397
volunteer,17.222447813039285
multiplication,16.798257063629983
analogical_reasoning,16.658983482031676
hmns,16.402970470305313
passivity,16.369009577787935
evolutionary,16.338922524818244
desires,16.27581085295049
visuohaptic,16.27519959324578
anomaly,16.205754606420577
implicature,15.895965350683197
logic,15.884735130569187
mp,15.882013520978846
accessed,15.43759590680706
religious,15.373388010090272
vstm,15.251090535238992
pervasive,14.967133871832324
lfp,14.708597371231575
refresh,14.543452222919585
matrices,14.431302577066699
inherently,14.392258724244318
intentionality,13.803262615628892
injections,13.776955511616048
gppi,13.666314524658636
fog,13.510962889705997
manifesting,13.39851349006922
proximity,13.385786252085284
numerosity,13.331950050499984
erho2,13.147062693653433
disentangle,13.127613858127862
illuminate,13.123285675946864
deceptive,13.087996609772066
disambiguating,13.069621291081699
evaluates,12.97620031769517
subsystems,12.895305427979586
mirror_neuron,12.88602708262476
responds,12.874308923784628
oa,12.798929374856392
illustrating,12.713405097274158
watch,12.630697452586867
rp,12.601222031301662
gestural,12.458159020554334
attributing,12.25624571383688
closer,12.202521330138831
ax,12.003940357044485
persuasive,11.774540594887702
appropriateness,11.769682721678745
homologue,11.74488278113806
dishonest,11.722988376244514
rsn,11.692451552970592
depicted,11.579207349658871
stm,11.368586112494004
inertia,11.308725021325474
animations,11.298025315862443
lies,11.205529569502513
somato,11.147749745251662
deductive_reasoning,11.105988988021117
ti,11.101211133981197
quantity,10.932199041409987
protagonist,10.85054056863366
triple,10.777120431978574
quantifiers,10.665560040399987
pseudoword,10.653554371841034
successes,10.533014812748007
rotational,10.454630669572001
preferring,10.377574596557462
visual_representation,10.361832557551953
clip,10.319678780681762
dense,10.30435239604157
signers,10.294410690735493
conceptualizations,9.992645611688317
rhyme,9.989512016375805
honest,9.871990211574326
word_generation,9.855449742975903
mutually,9.764991565330961
criticism,9.752873524213014
scenario,9.569145658327203
telling,9.396956391590216
macaques,9.262571349417636
gifted,9.176469847398307
changing,9.11097187344015
afterwards,9.090362776430505
subprocesses,9.090140286764456
nested,9.036382320326256
introspective,8.982499146887767
persuasion,8.971277131367323
salience_networks,8.922248720059988
capabilities,8.826611044024904
ba2,8.6810528122808
pifg,8.638575346518598
lag,8.598543967274862
intra,8.386653953264215
watching,8.329120832015612
nonsymbolic,8.26580903130999
physically,8.186910439085413
featuring,8.142592778034532
row,8.132490325814
gf,8.127071875542727
recruiting,8.040806092108992
analogical,8.02099204690414
truthful,8.02099204690414
explorative,7.901307092162451
monocular,7.85163130655999
operationalized,7.764508722214945
understudied,7.684562956347023
lifelong,7.68238842087138
deliberate,7.6253665286411785
break,7.5322143932157575
sb,7.4539450941703045
entails,7.405969991554397
rspm,7.403992658680745
deductive,7.403992658680745
communicate,7.274642296037603
reach,7.2483123456984515
fewer,7.154238594134721
soft,7.0909752420594865
minimum,7.081972048506675
semantic_associations,7.072019288848872
impossible,6.8015765238571895
premises,6.78699327045735
deduction,6.78699327045735
syllogistic,6.78699327045735
film,6.736458042781061
hss,6.697622518157875
uncovered,6.680254672228736
tor,6.677732932523693
glabrous,6.677732932523693
specification,6.616132982692845
messages,6.548824300613341
rostrocaudal,6.3744650885656435
reorganized,6.371548552343376
neuropsychology,6.307213130260957
tv,6.286212801888353
fr,6.223376384409438
scps,6.178436783090841
raven,6.169993882233954
corroborated,6.163080222911871
hips,6.132697023229992
averted,6.1298129093847615
notation,5.996729411661567
vibrotactile,5.994945336416091
ss,5.9943917921434675
reaching,5.98690437072929
flanked,5.968274663196183
handling,5.927359115690538
nonwords,5.903365494083145
pspl,5.893147491828292
private,5.862688441375429
intentional,5.720500765351904
arguments,5.628504372520993
yes,5.428756687702717
dyscalculia,5.332780020199993
plausibility,5.318840718735865
analogies,5.289235940317996
percepts,5.157484957271945
briefly,5.128434057240774
likeness,5.104018199411064
arguing,5.084818161596234
