Term,Weight
memory,859.1002349494114
retrieval,645.9554216908323
default,583.7001214518253
attention,555.8741320345962
working_memory,470.6065034228192
number,372.64986699803984
social,362.51654738309935
default_mode_network,356.98726558121047
judgments,353.7635182061154
demands,325.54064063833556
spatial,323.5695349549993
semantic,320.8142293567138
encoding,320.04034582386123
self,318.41021256354315
novel,304.8020908302179
recognition,297.63434824428975
seed,274.9933686173158
ataxia,268.3547419790023
emotional,260.4143445450984
intrinsic,250.60335636948642
lobules,249.80908069100207
explore,247.79810516821706
scale,246.5931427690348
cues,245.14217458458955
words,237.826024822191
cognitive_control,236.8470825472454
knowledge,231.46744257558777
future,229.5506866085434
judgment,223.71850100257922
reading,222.56231303161374
spontaneous,222.27932697050244
learning,221.1463003396209
presence,220.93223289407865
view,218.1540343131627
perceptual,217.31285734116466
risk,216.10616255450518
verbal,208.81890955271518
timing,206.69213851225206
goal,206.14338523508738
conclusion,205.58758148929627
monitoring,204.54793884151994
target,199.42121171623052
cue,196.79666661644671
attentional,193.66775005247365
word,191.63064085473246
address,190.78428801988898
reasoning,189.49230619824723
regression,187.41320772918195
decision,187.10742531473497
free,185.83457399244253
default_mode,185.5544410775871
engagement,183.97133474987035
moral,180.96379523378778
episodic,180.1827198307773
person,178.73930717671834
throughout,178.04723821792248
manipulation,174.85608728665625
neurocognitive,174.49789282473438
core,170.62535234385186
strategies,170.25574062897076
category,167.5420910374314
abstract,167.40528413720858
reflects,166.8776074531635
engage,165.71749400511382
recall,165.34793517137504
predominantly,164.7236905354666
report,164.52996494141377
abilities,162.276349167667
executive,160.99198596812076
reward,160.82584428859144
memories,160.34858171452302
question,159.46953513149242
animal,159.3342564266617
wm,158.30154866008158
exhibit,157.24635771915413
unique,157.00962428997224
chinese,155.40846172516848
iv,155.3429099869331
exposed,154.5993579221926
variables,153.22246028703773
perspective,148.99038904699358
contrasting,147.5264600789979
feedback,147.48490340384396
factor,145.9507782922699
coupling,145.7638019371446
switching,143.78200553249638
status,140.24973550765174
estimated,139.59129367330306
examining,139.26660595854435
six,138.28800095380944
schizophrenia,137.46369326882314
behavioural,135.92735634030632
adult,133.4689177063603
directed,132.06950237070535
issue,131.52600063740763
mentalizing,131.17644895847545
nature,130.57012982615754
expression,127.20289211632674
load,123.77496887856111
thickness,123.64314722428192
adaptation,122.86231358803556
episodic_memory,121.56374513803729
mediate,121.22330441750768
rate,117.69590291518341
influences,117.54622827046127
lesion,115.98564178942023
nine,114.37185809559358
comprising,113.02183347174777
evaluation,112.93302439296582
respond,112.65372405868109
intra,112.54519608362354
severity,111.92062121733139
adaptive,111.18170286454195
total,110.57527860907831
environment,110.09556422675203
focal,109.19672397683094
values,108.67382707293504
selection,108.59016615343964
divided,108.40627333416813
virtual,107.81144207961819
generation,107.78159668973235
anxiety,107.13912708476609
flow,106.95443662360307
increasingly,106.71409938298873
relationships,106.6409724582334
help,106.6301727642503
namely,105.90142894753346
pathway,105.68535902001486
controlling,105.48095852356775
frequently,105.18387604727528
situations,105.0527824504172
male,104.99094361173702
relate,104.97725942674649
deactivations,104.83563267706904
characteristic,104.78910785164402
gestures,104.51067261837105
selected,104.32182200911478
major,104.27772248274493
emotion,104.01248341153693
behaviors,103.8482117586594
categories,103.15963442191584
correction,102.5924482688109
ef,102.17544689918347
familiar,101.12532408091215
regulation,100.71164792104273
conditioning,100.52714914140803
existence,99.46326810727527
conceptual,99.16495246143965
sleep,99.00357137573648
scan,98.76930604846176
subregions,98.44089524444084
various,97.86339997400006
ts,97.74158567242293
ocd,97.25217039312389
explored,96.92824777650476
received,96.5149309854042
focus,96.0988425467245
weighted,95.95791310420478
mind,95.82217443578531
repeated,95.78003884025858
clarify,95.73188165627812
relational,95.68622244024272
hierarchical,95.5003011884956
segment,95.49016527047733
roles,95.46672569641197
executive_control,95.26614136126297
subserve,95.14123823311643
contextual,95.04641020766854
decisions,94.57075043295036
extending,94.48189258074412
facilitate,94.09586002189815
targets,93.5861340103026
moderate,92.69409418004669
interestingly,92.50168816959903
version,92.38729107941359
bpd,92.11680027427468
affect,92.09586273436483
impairments,91.96178946947816
accurate,91.74425667423567
rule,91.72565823899673
bipolar,91.72480029829582
followed,91.51729607674866
enrichment,91.24210297335485
performances,91.08343525930003
online,90.81228610123074
marked,90.73681202711904
exclusively,90.60006665112533
pronounced,90.13998741844806
possibility,89.57332940797892
past,88.90009687684564
dynamics,87.97480534031673
history,87.89843836852361
salience_network,87.52283330066307
numerical,87.40010145489529
operations,87.00367009545764
situation,86.86093811160747
activating,86.41579167896626
internally,86.32503566717513
manifest,85.85568458636689
female,85.44580443035812
goals,85.3710942425946
visuospatial,85.35793793706003
eyeblink,85.13902178346629
dedicated,84.81323830675963
relations,84.58499497167803
neurological,84.24955440587263
everyday,83.9002383829373
encoded,83.76752568129774
substantially,83.71159565103659
fact,83.510081035905
sustained,83.38313794039537
third,83.2580828600179
material,83.13739562178172
shape,82.96372781240132
characteristics,82.92015542654426
suppression,82.67871325483028
navigation,82.66967333286685
autobiographical,82.62469884705814
reaction_time,82.49297963747004
global,81.9738555651483
improved,81.57991574753453
working,81.49820473079188
size,81.3013068147729
triggered,81.2374854266017
numbers,81.19085093079852
lacking,81.07316774753302
success,80.52150081051846
priming,79.72143598281123
instructed,79.55429843112883
action,79.43201620377293
implementation,78.69484044812307
cortico,78.6478309827859
letters,78.1582237653315
respective,78.14928383002832
associative,78.07869612757489
optimal,77.31559040346687
childhood,77.31160952788443
available,77.1044022719249
repetition,76.92028330817159
reveal,76.84733957995084
deactivated,76.71410156136746
opposite,76.7126151402127
visual,76.63726629312168
representing,76.57710153389883
maintenance,76.48157971912262
letter,76.26203258105222
sessions,75.76851801722708
mediating,75.5310860855358
forms,74.98232276830367
moment,74.88130633680336
aspect,74.8741517966171
purpose,74.690437929677
predict,74.65671699063753
mental_states,74.57150391986127
strategy,74.44819501554932
recruit,74.04110511064357
causal,73.89883721924507
assessment,72.75819690834203
inference,72.56579573879657
stage,72.43149091971623
threat,72.20070701426076
ad,72.00096132425628
slow,71.8661420733508
partially,71.82040776261813
mild,71.77811060128923
outcomes,71.7625495657118
rules,71.56534691515175
faster,71.47960426731667
targeted,71.37752914373252
methodology,71.19700385390296
viib,70.83955731677614
share,70.64971900850885
memory_retrieval,70.51307628937923
characters,70.47017340307444
aberrant,70.46980868049857
concerning,70.27713449528726
intelligence,70.26291816744107
evaluated,70.18360534388796
conflict,70.14880556717068
cr,69.70616635177173
route,69.68784783013785
signatures,69.60102225172704
experienced,69.54976451811025
syndrome,69.28760576679929
addressed,69.11098580060215
demanding,69.0107081514249
sets,68.9423883277163
automatic,68.86393395151039
generated,68.60844494541627
substantial,68.55928315843354
digit,68.49024208783548
investigations,68.47922993052897
reliably,68.31113499316632
example,67.97498955359845
subtraction,67.86632199951462
education,67.69311662456346
concepts,67.69133225498072
line,67.51986903418005
thirty,67.30734165639623
categorization,67.23725313710365
am,67.03110399042345
genetic,67.0012328284336
personal,66.65600776338
scales,66.51214822899416
concrete,66.45087793323117
amount,66.44998741093335
neocortex,66.33678138028743
item,66.30622352508513
coherent,66.22366267108465
daily,66.18030490863626
identifying,66.1733796030107
hence,66.11271273989587
switch,66.10102836564906
responding,65.8797250495074
failure,65.39388138424053
deep,65.00299850602684
modulatory,64.77662378878583
character,64.60005459027518
intention,64.54535008305673
instruction,64.53985788819591
correlate,64.40476473238259
developing,64.2133986313449
classical,63.814209180105465
subsystems,63.809125726603945
variation,63.7382214441068
exact,63.67701494559344
correctly,63.417418061425636
search,63.24018645094384
egocentric,63.222023369093144
developmental,63.18495175957919
precise,63.057180443779366
arithmetic,62.71463064551749
modulates,62.69331145811681
detect,62.52833178887883
focused,62.24846930374085
reality,62.09642044830358
sex,61.98643747294575
language,61.90440873505277
insight,61.81209553901537
outcome,61.757896062181636
interference,61.733622870865304
deception,61.7155574113399
unexpected,61.69746248351835
generate,61.62009822840524
uncertainty,61.48614719534067
epilepsy,61.13721763414642
accurately,60.9552155405062
segregated,60.92858496539505
belief,60.90210095100476
exhibiting,60.73569848111679
examination,60.69848659851256
involves,60.61801849898287
successfully,60.53950409851974
alcohol,60.52342747362276
phases,60.37121026246693
grey,60.32977274711605
shapes,60.27665623947081
autonomic,60.23918928162802
stress,60.09014719171301
actions,60.06868035255508
strategic,59.99592944625924
conjunction,59.96073570321066
sufficient,59.52577966954906
animals,59.41647676006461
capacity,59.396240732788975
items,59.248801009360804
explicit,59.20062344328291
subsequent,59.13103349178876
demand,59.089666836421394
integrating,59.087559140826585
attributed,59.07917315752403
similarities,59.05176559146761
social_cognition,59.05066408852457
outside,58.94844064915902
instructions,58.85971519876958
passive,58.82913448515702
pulse,58.78585259358217
nonlinear,58.75084498059661
emotion_regulation,58.70994077927245
highlight,58.62460425889576
date,58.55294204662213
flexible,58.16144231044923
affects,58.076541796334354
capable,57.79317510494569
pictures,57.36945680903135
explained,57.32493699489084
broad,57.19073156911641
iq,57.10227331815925
conditioned,57.0911602288938
belonging,57.08717475529032
recollection,56.937475474783696
access,56.89982856420664
nonmotor,56.860549876307374
differentiated,56.44228277592822
distance,56.40509097209034
integrated,56.333246888569434
location,56.11436015366198
estimates,56.0125332845799
cued,55.92342793642346
administered,55.923379933714415
persons,55.86403232500025
regionally,55.798169701178324
interacts,55.72483531086802
friedreich,55.659652177466974
gb34,55.659652177466974
conversely,55.39425178007788
changing,55.36420557413548
novelty,55.288667615196076
domains,55.27501035234677
women,54.77799461681896
markers,54.6967156753247
intentions,54.43908366285403
normally,54.37112521888698
challenge,54.368330237372874
reappraisal,54.308499061748016
viiia,54.09852681694448
rsn,53.85975250963233
central_executive,53.77606922541396
degeneration,53.736928924785154
rostrolateral,53.66593286638022
characterize,53.487704269619165
fit,53.308673511026576
vary,53.193194688102615
testing,53.10782480797968
oriented,52.884704435237886
manner,52.72827767980054
affective,52.51255925868968
tests,52.486708865060834
simulation,52.24807739001325
bd,52.22856900837807
requiring,52.08359827791786
acupuncture,51.90295862567575
unfamiliar,51.81481941180272
temporally,51.744168139579074
contributes,51.696775429614576
psychological,51.67605159997865
include,51.59748458887223
allocentric,51.46040873891044
gesture,51.456875341944965
exhibits,51.446682069805775
difficulties,51.37230270206213
reduce,51.29455593643201
health,51.19908340674236
caused,51.10703058064226
apparent,50.8484215314934
tendency,50.78594919627418
modulating,50.545792166829415
recognized,50.48447005308748
orienting,50.39103624541782
judged,50.359135889356935
efficient,50.33017928583131
familiarity,50.24060298380467
statistically,50.126014826492195
completed,50.115045306654395
blink,49.99406560490285
trend,49.89994125416218
entire,49.527343377611786
ambiguous,49.418877586808044
irrelevant,49.38408129374602
homogeneity,49.23296980444047
emotions,49.18006127182987
delay,49.08248213001272
native,48.97991417263063
perspectives,48.827989131577056
preparation,48.7806625651965
step,48.77769501685385
considering,48.777338693864834
hyper,48.5762593285188
observe,48.45594014166075
interval,48.34014681103244
architecture,48.31916109091248
experiences,48.24898983437794
blind,48.14088836339529
markedly,48.13242404046184
classic,48.087503721370666
times,47.95310822759165
modulate,47.86804960449738
considerable,47.867769007353964
maintaining,47.78350678800065
linking,47.77243837402881
anti,47.689418767794734
indirect,47.62248657395939
attempt,47.53676816727312
act,47.44549208099578
visuomotor,47.33957661346616
updating,47.31192836676712
behaviour,47.19231807376167
social_interaction,47.06318685454926
dbs,47.06201577362493
equation,47.007077601930625
subjective,47.00677117313312
calculation,46.9684544849553
sub,46.90031380250539
environmental,46.894405195370084
smokers,46.85378478427265
behaviorally,46.85262071648717
transient,46.75535911595366
confirms,46.683710353364866
invasive,46.679983627401796
beauty,46.642635877555215
symbolic,46.557137076730534
decreasing,46.38344980437519
arousal,46.28879600552205
intentional,46.17397085086577
estimation,46.12294904398439
achieve,46.041359988746485
maintain,46.00971211666293
critically,46.00264842037706
mental_state,45.88908345420819
manipulate,45.81759556314137
ix,45.77195384088221
evident,45.69422339516565
decision_making,45.60481793275454
relation,45.48084432931017
probability,45.328474904194515
feel,45.304493731518896
benefit,45.28697342104782
semantic_memory,45.27850421465668
co,45.2011665219422
physiological,45.1521142861727
icns,45.13138606324952
delineate,45.09617308835856
evaluations,44.87234661522068
beginning,44.84994329418741
highlighted,44.710948502986355
executive_function,44.70315876041102
interacting,44.6822735359448
theory_of_mind,44.66326244961302
retrieved,44.64341219008719
latter,44.624878978947706
contributions,44.56545475490627
inferences,44.53631306449883
attributes,44.49685891978406
subserving,44.431156029014204
diminished,44.234053638174245
select,44.11343599653118
true,44.0675060910218
volumetric,44.064413754522946
summary,44.04886446949365
block,43.81989936758435
contributed,43.768384391351034
lack,43.718913204811884
poorer,43.70411596197445
node,43.668382641814915
selectively,43.59917881731958
attenuated,43.58791415252871
difficult,43.479662610690916
towards,43.435179216161075
takes,43.328158224269366
ratings,43.312368389555104
observations,43.267237690305315
interactive,43.219798349834974
learned,43.07099049069705
greatly,42.72394199354352
tmd,42.64995179484759
disrupted,42.59014313656721
ba10,42.44749173149693
sometimes,42.34485423911097
locations,42.21165792951182
occurring,42.20395535082281
ptsd,42.157137375920854
nineteen,42.138877655879774
aged,42.12187589457173
monitor,42.108836638317385
tinnitus,42.107131615342354
reversed,42.0499717488234
profiles,41.87830711967828
unchanged,41.79726031032865
contributing,41.7888243315239
adhd,41.73745668829209
migraine,41.69154249844434
japanese,41.67158992991243
