Term,Weight
working_memory,463.7304764603329
demands,453.0719901685429
ataxia,386.9300548333812
lobules,297.2108844009037
perceptual,187.22653256273566
gestures,169.3008324661424
contrasting,154.84103118758534
numerical,153.66750904027623
numbers,147.75642213797974
reasoning,138.99096813159508
enrichment,138.85601789780446
visuospatial,134.58245396278582
eyeblink,129.75379361757112
ef,128.9213611112051
arithmetic,112.39870224197978
viib,108.49823985332851
iv,104.00069613416645
working,101.20631281843376
gesture,96.98026069542217
exposed,89.7173769978386
activating,87.4002915570626
dedicated,86.575457163338
gb34,85.24861702761527
friedreich,85.24861702761527
calculation,82.45394048142879
relational,82.12189089882916
nonmotor,81.22746253629784
viiia,79.10698522302245
nine,78.00357355265305
symbolic,77.51697991830527
constant,76.48236855410154
version,73.77251305929238
subtraction,71.17115671659579
prism,70.6319548132676
ix,69.45727673531745
neocortex,64.42410642434291
unchanged,63.006984945326586
symmetry,61.86749990637171
weighted,61.41680032519294
deception,60.8339155401678
blink,55.6994463835505
operations,54.71035224030862
exhibiting,53.94157975671003
ultra,53.52129136672045
digit,53.3310689997801
hierarchical,51.7339294719849
drawings,51.122146970758024
albeit,49.56049426668367
climbing,49.20101055929654
mathematical,48.903503640230035
substantially,46.21626173928134
maintain,45.864885714905974
multiplication,45.738887210184906
dwi,44.98745626573566
regionally,44.213674636518995
ws,43.954957522904635
configurations,43.83577582198677
respective,42.6506844325081
sfa,41.73706420783994
fnc,41.28732256818746
magnitudes,40.97337403781979
drawing,39.87884214531413
divided,38.43991098221812
upright,37.860100757677294
maintaining,37.679353888946764
interestingly,37.36983915528763
holds,37.32492994278646
monitor,37.29765448265509
allocated,36.820701969305105
sternberg,36.62990743574237
back_task,36.55012355613234
match,36.530259998237405
numerosity,36.30070413506738
pica,35.007957934329305
confirms,34.08104990007783
thereby,33.98972957175154
format,33.58064006348124
spared,33.52347542532863
words,32.89386163212981
estimated,32.84699073704499
spatial_working_memory,32.736543135421634
manipulate,32.11390562184592
frailty,32.10543400603073
swm,32.011681515767556
reflex,31.6980564812216
mappings,31.632926232818203
feedforward,31.593105229348364
visuomotor,31.500018175737516
auditorily,31.492708302940972
rostrolateral,31.1464028131314
neurocognitive,31.052890500562725
animal,30.87160852978974
timing,30.805991445654456
clues,30.799440973318777
constrain,30.534338794661902
performances,30.341701583293432
agree,30.328285197728466
versions,30.226650631100142
demanded,29.7716331828713
quantity,29.766577390755252
phonological_loop,29.29814964465376
quantifiers,29.040563308053905
rhyming,29.0150357421607
guidance,28.56338999718583
classically,28.52895365487794
nonlinear,28.27148164643321
examples,27.571638628001466
hierarchy,27.383563825697102
contributed,27.295565315773544
truth,27.130945291585046
dbs,26.544879449390425
subcomponents,26.118622758216564
landscape,26.009666080263404
conflicting,25.979576640973512
tandem,25.90064932197283
variables,25.83779134367215
highlighting,25.345469501863537
characteristic,25.30559485205758
correction,25.157457541508073
semantic_processing,24.664942337012956
iconic,24.37133894733366
inversion,24.24705327887065
tmd,24.05629700101007
triggered,23.997977857087825
territory,23.956848240539358
wealth,23.868833200022877
executive_function,23.50609116144705
missed,23.458790087667055
vertical,23.444507077622745
apparent,23.260905848944148
lacking,23.162413237066694
cns,23.160941425456034
nonsymbolic,22.506436563741776
equation,22.5025470217001
ffg,22.48300079229139
rvf,21.977478761452318
methodologies,21.90570501823728
resource,21.81705569447416
moderate,21.66195600972408
orthographic,21.491922609108265
markedly,21.410590772607748
passivity,20.89242728030258
stm,20.858713713490264
covary,20.58238416677705
predominately,20.49191056300104
meet,20.261828986019417
circumscribed,20.24138667533426
zone,20.23769955521947
migraine,20.16022082759546
disentangle,19.896212009104623
semantically,19.836583995979005
perfect,19.72715094502252
conjointly,19.337475501184592
pose,19.23452420580281
accessing,18.93361073928467
timescales,18.85781262001021
tumor,18.698731180911707
arabic,18.595627969087825
midfusiform,18.53064450420424
frois,18.53064450420424
sud,18.498182376261827
augmented,18.469507177245575
lying,18.409228917803873
thickness,18.372855064549203
decreasing,18.128564792299105
wmc,17.973619195112697
participates,17.96900420015708
loop,17.962483062305832
lvf,17.856701493680006
stem,17.812062509325443
mirror,17.790689524759728
classifying,17.686917666334903
intermediate,17.576528305548997
defines,17.53538038309887
interfaces,17.442448121433316
minus,17.43504433128235
pitg,17.295268203923957
velocities,17.13082406749578
supply,17.068398201410147
looked,17.06346634409458
focal,17.006498661317636
internally,16.723883978890846
hips,16.698323902130994
automatization,16.659664960310497
house,16.400904121961116
concussed,16.185909579229097
diagnosticity,16.03419608449072
og,16.03419608449072
contributor,15.910583700989465
exerts,15.887553750280812
flows,15.78505951686105
completion,15.751332601654665
deep,15.678870650887424
practical,15.674748900552256
modulatory,15.566860593193429
venlafaxine,15.535158983002136
analogy,15.506955633607895
invariant,15.369083078574263
ax,15.32111333888856
phonological_processing,15.30877971209367
analogical_reasoning,15.261156726516587
pulse,15.070007902072199
ninety,14.983614227594163
cell,14.862884800172814
accompany,14.859426604883726
