Term,Weight
demands,81.68425191034952
numbers,74.3288474342408
numerical,73.45345139866737
symmetry,60.4245393221268
gestures,58.33143600270212
upright,58.30865643500827
arithmetic,54.994010872833414
ataxia,49.61921855832237
inversion,47.62903342347817
gesture,43.12472324858895
ws,42.359180784772924
calculation,39.29253245379588
drawings,37.12242495563283
symbolic,33.568752608275084
feedforward,31.510838942292974
visuospatial,27.42447213029996
vertical,26.274709285697234
drawing,24.82115435943833
enrichment,24.739853638571013
magnitudes,23.88895867392071
og,23.745186118391302
diagnosticity,23.745186118391302
climbing,23.597941818448785
multiplication,23.172185167648173
ffg,22.96023353027353
format,22.926814266133626
venlafaxine,22.526816645953883
eyeblink,22.296693056123587
rvf,21.179590392386462
viib,20.00053055450946
magical,19.041072566272174
swm,18.87282690140031
configural,18.511777888851864
midfusiform,18.407616226456167
frois,18.407616226456167
numerosity,18.39062314892712
car,17.746087706184916
holds,17.66094529132662
prism,17.39553239289704
constant,17.287327425708806
lvf,17.208417193814
pitg,17.180441811359092
spatial_working_memory,16.321570981643752
mathematical,16.17445043739862
rhyming,15.939516611090996
gb34,15.714702578543148
friedreich,15.714702578543148
quantity,15.080310982120238
quantifiers,14.712498519141695
hierarchy,14.433185099349211
spn,14.38788948935961
alternations,14.362659914464615
exerted,14.318050652240826
scrambling,14.232350248303135
misaligned,13.735066487297644
house,13.5980375208994
wmc,13.377222318228874
backwards,13.057128946910193
visuohaptic,12.271744150970779
ix,12.127650998235538
object_perception,11.978391751001432
automatization,11.960388092531131
vis,11.522595113499381
nonsymbolic,11.402186352334814
convey,11.123822026214896
scrambled,10.981369202359062
intermediate,10.955194697996351
viiia,10.741409547527606
backgrounds,10.740057738162044
arranged,10.69227308094126
discrepant,10.605413135188414
dorsally,10.355778787997469
sfa,10.279178232166432
fifth,10.18083556192602
back_task,10.157877087947906
simply,10.03076951475095
gravity,10.030571029743331
prehensile,9.968160097203103
neighbors,9.770085627983839
sud,9.70534430680954
describes,9.128722316392981
nonmotor,9.027752426967142
unchanged,8.69262464786583
gifted,8.586822290173735
concussed,8.492176268458348
hips,8.459686648506475
ultra,8.257135706583231
edge,8.147947224981321
frailty,7.907060178589562
pseudoword,7.797881930743066
monocular,7.749417909319008
rhyme,7.481055013227211
rp,7.381214497313109
dyscalculia,7.3562492595708475
spc,7.286399240424258
ventrally,7.278155176963695
arabic,7.258122447773222
iconic,7.2362309787910135
physostigmine,7.1923319142671485
microgravity,6.936282759695954
ideation,6.66917186257456
conjoint,6.6398952894839605
numerals,6.620624333613764
lateralised,6.4487847039399915
unrecognizable,6.331114841197229
fog,6.065840191755962
verbal_working_memory_task,5.9668007118468305
mathematics,5.884999407656679
working,5.744399280085801
odd,5.707330851388458
outline,5.6033835773682075
