Term,Weight
switching,547.9865903018584
switch,243.66521722261268
numerical,151.57817113733654
numbers,145.11586570973262
arithmetic,101.49275889667341
vstm,98.64800142846667
task_switching,85.15796112952579
calculation,79.59715501638344
flexibility,72.23492966562408
symbolic,62.8665207230984
cost,55.838758252925906
multiplication,45.62709782689477
switches,44.26164466766662
costs,42.41377606174973
mathematical,41.45123115101838
switched,40.40884580054627
rai,39.11543095928412
numerosity,36.21198240229743
spatial_working_memory,33.8292224025816
fnc,33.40034356623421
swm,32.51524487559042
quantity,29.693825569883895
updating,29.344711838406372
quantifiers,28.969585921837943
task_set,28.8102554582643
refresh,27.49762425430174
rostrolateral,26.27425513101914
nonsymbolic,22.451429089424405
demands,20.712455847262277
specification,20.26440153867576
version,20.162319656665414
illusion,19.89847828109496
gf,19.36415140256996
symmetry,19.01413166745409
wmc,18.967802695045393
notation,18.108598532940587
passivity,17.734915689965824
steering,17.397395543854007
automatization,16.97161072787662
arabic,16.8561118730818
hips,16.65751190505682
flexibly,16.45351564166407
nonspatial,16.22343673304772
paintings,15.97997706039981
ws,15.159958745562035
bound,14.679501667008253
dyscalculia,14.484792960918972
compute,14.029394453831776
subtraction,13.854993939926967
grasping,13.733762318072877
approximate,13.191882415345027
pspl,13.183649582519426
numerals,13.036313664827075
ax,13.00560483930827
constantly,12.855338510531382
neurophysiology,12.289327139589068
mathematics,11.587834368735178
task_sets,11.387006452569434
implicature,10.977601534485222
numerosities,10.86359472068923
abacus,10.86359472068923
mental_arithmetic,10.45926435290068
update,10.455540829087113
landscape,10.227202274952273
grasp,10.125928893573935
quantifier,9.415115424597332
gppi,9.198197673251444
unspecific,8.751708642599464
numeral,8.690875776551383
nl,8.690875776551383
misleading,8.677824516166156
raclopride,8.64945404928656
illusory,8.636515383465872
tracks,8.468986587628805
quantities,8.293044864732305
fractions,7.966636128505435
ed,7.690774560159859
rvf,7.579979372781017
tea,7.511021943726339
arithmetical,7.381939322645873
vcfs,7.253176528501061
dividing,7.1088326375922035
usage,7.065920491338046
illusions,6.665136773292431
fr,6.469027642583031
inherited,6.341074152950887
neuropsychology,6.312427380406485
spc,6.3104219690613075
lvf,6.158733240384577
