Term,Weight
switching,573.4288059769331
switch,262.5824400562834
numerical,174.36242059405578
numbers,164.78324265699698
vstm,126.25315617864142
arithmetic,112.75220740263252
calculation,90.72827503467849
task_switching,89.2614570105453
flexibility,80.30573393242076
symbolic,69.79990285987094
location,64.35969319167165
cost,61.82085916411387
mathematical,51.868840798371494
multiplication,51.611796129684656
visuospatial,50.89439718256991
operations,50.461414778292635
costs,49.19763686719556
demands,48.91340353750036
mappings,48.633098495687385
response_selection,48.53328642173433
illusion,45.75142516362041
switches,43.92600196514999
grasping,43.216710768588804
switched,43.18896860433335
numerosity,40.96174296006718
rai,40.14775469145547
swm,38.909348564333484
spatial_working_memory,38.579260957073814
updating,37.43651348576907
subtraction,34.294369096476814
symmetry,33.87275163766249
quantity,33.58862922725509
landscape,33.213706958320756
quantifiers,32.769394368053746
planning,30.892193632422646
grasp,29.87863585065192
refresh,28.883652655444195
task_set,28.405567320034525
gf,28.378809480738177
nonspatial,28.054616129330036
fnc,26.45976847207741
nonsymbolic,25.396280635241652
version,25.24170416923178
ws,25.160791962488087
illusory,24.387199310797186
steering,22.284346364899793
specification,21.730174472069567
repeat,21.530827292476353
wmc,20.94050434250257
notation,20.917989770711515
arabic,20.539080308010046
neurophysiology,20.36059989138678
automatization,18.98416400127153
hips,18.842401761630903
flexibly,18.675620112791588
drawing,18.54980349174343
paintings,18.096270855362608
unspecific,17.91838832212394
constantly,17.90876173027979
dyscalculia,16.384697184026873
bound,16.053764069076863
approximate,15.5049282676703
division,14.93862423026138
compute,14.82619529847793
passivity,14.772643812885114
numerals,14.746227465624187
pspl,14.419892104377062
isolate,14.27637684652371
illusions,13.138808153771384
mathematics,13.107757747221498
back_task,12.649770065934236
rvf,12.580395981244044
task_sets,12.433099950624472
tracks,12.305406443316016
numerosities,12.288522888020156
abacus,12.288522888020156
mental_arithmetic,12.006917801934268
rostrolateral,11.507128393985235
update,11.205124171757642
ax,10.833272129449083
quantities,10.772278983549398
misleading,10.695223780714636
quantifier,10.650053169617467
